"","PathogenName","Pathogen_Harmonised","UNsubregion","CountryISO_EID2Wertheim"
"1","betacoronavirus 1","betacoronavirus 1","South America, Northern America, Eastern Asia, Northern Europe, Southern Europe, Western Europe","CN,HK,FR,DE,US,BR,KR,DK,SE,IT,GR,BE,JP"
"2","human coronavirus 229e","human coronavirus 229e",NA,NA
"3","human coronavirus oc43","human coronavirus oc43",NA,NA
"4","severe acute respiratory syndrome-related coronavirus, severe acute respiratory syndrome coronavirus","severe acute respiratory syndrome coronavirus","Eastern Asia, Central America, Northern America, South-eastern Asia, Eastern Europe, Southern Europe","CN,CA,CR,HK,RU,US,IT,TW,SG,VN"
"5","influenza a, a influenza a","influenza a","South America",NA
"6","influenza b, b influenza b","influenza b","South America",NA
"7","influenza c","influenza c","South America",NA
"8","andes","andes","South America","CL,AR,UY"
"9","australian bat lyssavirus","australian bat lyssavirus","Australia and New Zealand","AU"
"10","banna","banna",NA,NA
"11","banzi","banzi",NA,NA
"12","barmah forest","barmah forest",NA,NA
"13","bayou","bayou",NA,NA
"14","bhanja","bhanja",NA,NA
"15","black creek canal","black creek canal",NA,NA
"16","bovine papular stomatitis","bovine papular stomatitis",NA,NA
"17","bunyamwera, bunyamwera orthobunyavirus","bunyamwera","Eastern Africa, Middle Africa, Southern Africa, Western Africa","SN,GN,CI,NG,CM,CF,UG,KE,MG,ZA"
"18","bwamba, bwamba orthobunyavirus","bwamba",NA,NA
"19","california encephalitis, california encephalitis orthobunyavirus","california encephalitis",NA,NA
"20","camelpox","camelpox",NA,NA
"21","caraparu","caraparu","Caribbean, Central America, South America","PA,TT,GF,GY,SR,BR,PE"
"22","catu","catu",NA,NA
"23","cercopithecine herpesvirus 1","cercopithecine herpesvirus 1",NA,NA
"24","cercopithecine herpesvirus 12","cercopithecine herpesvirus 12",NA,NA
"25","cercopithecine herpesvirus 14","cercopithecine herpesvirus 14",NA,NA
"26","cercopithecine herpesvirus 15","cercopithecine herpesvirus 15",NA,NA
"27","cercopithecine herpesvirus 16","cercopithecine herpesvirus 16",NA,NA
"28","cercopithecine herpesvirus 17","cercopithecine herpesvirus 17",NA,NA
"29","cercopithecine herpesvirus 2","cercopithecine herpesvirus 2",NA,NA
"30","cercopithecine herpesvirus 5","cercopithecine herpesvirus 5","Eastern Asia, South-eastern Asia, Southern Asia, South America, Northern America","AF,DB,CN,IN,LA,MM,VN,JP,TH,PK,NP,BR,US"
"31","cercopithecine herpesvirus 8","cercopithecine herpesvirus 8",NA,NA
